year,tag,countryName,population,gdp,rgoUnemploymentRate,factoryUnemploymentRate,rgoWorkforce,factoryWorkforce,continent,gdpPerCapita,totalPercentageOfUnemployed
1993,AAB,Antigua And Barbuda,65056,136123470,1.7931322,100,14444,696,North America,2092,6.3
1993,ABK,Abkhazia,528720,1984036600,1.281237,3.9422805,110206,10603,Asia,3753,1.5
1993,ABZ,Ambazonia,0,0,0,0,0,0,Africa,0,0
1993,AFG,Afghanistan,14045836,23460052000,2.1546707,-11.588917,3069193,121737,Asia,1670,1.7
1993,AGI,Anguilla,8972,96300,0,-131.57895,2005,19,North America,11,-1.2
1993,ALA,Aland,26968,15911645,0.32915038,66.426865,4861,834,Europe,590,10
1993,ALB,Albania,3233100,5182652300,0.5299361,-2.778146,678195,67887,Europe,1603,0.2
1993,ALG,Algeria,24922396,66389810000,1.682713,99.76848,4926449,627586,Africa,2664,12.8
1993,ANG,Angola,9712756,30186676000,2.4419158,5.0217295,1974761,213074,Africa,3108,2.7
1993,ARG,Argentina,33163960,1.67E+11,1.1821879,9.475792,6314140,1149677,South America,5047,2.5
1993,ARM,Armenia,3292176,12305670000,0.7715534,-6.2550125,664374,79792,Europe,3738,0
1993,AST,Australia,16968232,97213635000,0.6092456,-3.4493554,3225957,600576,Oceania,5729,0
1993,AUS,Austria,7740312,69601100000,0.087772496,-5.1487894,1518699,217119,Europe,8992,-0.6
1993,AZB,Azerbaijan,7731340,41556342000,0.003261529,49.1811,1594344,144889,Asia,5375,4.1
1993,BAH,Bahamas,246200,2761783800,0.75649625,-3.808073,47720,7878,North America,11218,0.1
1993,BAR,Barbados,264408,3100602100,0,-5.3348465,56399,4405,North America,11727,-0.4
1993,BEL,Belgium,11137788,69580414000,0.044645682,-3.73033,2085308,439693,Europe,6247,-0.6
1993,BEN,Benin,4763612,7976333600,1.125599,-4.9444437,1012794,80009,Africa,1674,0.7
1993,BEU,Bermuda,50164,117689250,0.12756264,-283.3333,10975,36,North America,2346,-0.8
1993,BHR,Bahrain,504252,11193220500,1.380077,-3.9039228,95357,15779,Asia,22198,0.6
1993,BHU,Bhutan,626220,29291853,1.9946535,86.15365,135412,7966,Asia,47,6.7
1993,BIF,Biafra,22717592,70719336000,2.0358276,60.668636,4795249,406800,Africa,3113,6.6
1993,BLO,Balochistan,0,0,0,0,0,0,Asia,0,0
1993,BLZ,Belize,191284,493591600,0.5264198,-5.9893384,40462,3189,North America,2580,0
1993,BNG,Bangladesh,116144264,1.79E+11,1.2162297,2.421269,25626326,1261446,Asia,1540,1.3
1993,BOL,Bolivia,6660144,27967690000,1.272115,8.4902315,1338401,163588,Sout America,4199,2.1
1993,BOP,Bophuthatswana,1104500,8886251000,0.3664872,-8.300925,221563,22371,Africa,8045,-0.4
1993,BOS,Bosnia,1880888,14181577000,71.4485,-5.1381726,396452,37815,Europe,7540,64.7
1993,BOT,Botswana,1283920,17417218000,2.2372696,-6.342963,265234,30254,Africa,13566,1.3
1993,BOU,Bougainville,0,0,0,0,0,0,Oceania,0,0
1993,BRN,Burundi,5730844,12113099000,0,-30.17665,1309012,23210,Africa,2114,-0.5
1993,BRU,Brunei,248764,2285022400,0.85993326,-0.02844141,48841,7032,Asia,9186,0.8
1993,BRZ,Brazil,151920736,7.77E+11,1.2717662,-7.1996965,33125978,1711350,South America,5112,0.9
1993,BUF,Burkina Faso,8676120,12351076000,2.8983293,-11.252361,1918519,84169,Africa,1424,2.3
1993,BUL,Bulgaria,9039424,35715740000,16.582792,-5.092901,1709881,259577,Europe,3951,13.7
1993,BUR,Burma,41804460,93180023000,0.7039756,22.798573,8989232,504979,Asia,2229,1.9
1993,BYE,Belarus,10224948,53331080000,0.16331826,-5.2846203,1873030,282499,Europe,5216,-0.5
1993,CAM,Cambodia,4582180,1243061700,1.4268253,75.64928,1062779,8702,Asia,271,2
1993,CAN,Canada,29263224,1.80E+11,1.0931729,-4.7340555,5702117,904362,North America,6151,0.3
1993,CAR,Central African Republic,3177240,8163680000,3.092421,-8.757866,688231,46404,Africa,2569,2.3
1993,CHA,Chad,5990928,5842113500,13.321987,-13.188698,1347299,46646,Africa,975,12.4
1993,CHC,Chechnya,1084760,255779550,0.3294908,69.663864,217912,29750,Asia,236,8.6
1993,CHI,China,1210834728,5.48E+12,2.7013748,7.3915854,277969435,4559279,Asia,4526,2.8
1993,CHL,Chile,13300364,92810460000,9.597276,-4.3380966,2513755,453125,South America,6978,7.5
1993,CIS,Ciskei,488996,866151300,0.1056976,-6.68435,99340,11310,Africa,1771,-0.6
1993,CLM,Colombia,33146784,2.48E+11,1.0923686,8.00981,6390883,880258,South America,7481,1.9
1993,CMR,Cameroon,12052148,8093663000,1.842155,74.28375,2523349,225795,Africa,672,7.8
1993,CNG,Congo Free State,40306192,83981964000,0.42288154,1.0426106,8724665,539607,Africa,2084,0.4
1993,COI,Cook Islands,17932,11154191,3.521127,47.90287,3550,453,Oceania,622,8.5
1993,COM,Comoros,445632,662409970,3.1115565,0,98793,4764,Africa,1486,3
1993,COS,Costa Rica,3032536,8330543500,0.9011656,-5.129366,619531,72894,North America,2747,0.3
1993,CPV,Cape Verde,295044,272480320,0.023330612,-5.43527,60007,6697,Africa,924,-0.5
1993,CRO,Croatia,4023440,15037360000,1.8230572,30.031391,836836,85374,Europe,3737,4.4
1993,CUB,Cuba,10567320,55342267000,0,-4.405849,2013109,288117,North America,5237,-0.6
1993,CUR,Curacao,213464,441579900,0.25544202,78.19782,45020,1931,South America,2069,3.5
1993,CYP,Cyprus,748600,3209748000,0.8500901,-5.4357963,138103,18231,Europe,4288,0.2
1993,CZH,Czechoslovakia,16010080,99281683000,0.48877764,31.601465,3091999,488528,Europe,6201,4.7
1993,DAI,Dai Viet,67433528,2.89E+11,0.8952586,-2.253328,14559257,818567,Asia,4286,0.7
1993,DEN,Denmark,5141428,21140141000,0.3342997,3.910935,979959,177758,Europe,4112,0.9
1993,DJI,Djibouti,497536,2104781000,1.0454396,-0.013824567,97184,14467,Africa,4230,0.9
1993,DMC,Dominica,70988,181221720,1.7187824,0,14487,1762,North America,2553,1.5
1993,DOM,Dominican Republic,7137068,7748516000,1.085415,65.46452,1435672,177655,North America,1086,8.2
1993,ECU,Ecuador,10354816,40585657000,1.3542069,-5.0009117,2066154,257793,South America,3919,0.7
1993,EGY,Egypt,55529420,1.60E+11,0.5256443,-7.302466,11419320,864078,Africa,2874,0
1993,ELS,El Salvador,5147104,40546490000,0.76501685,-5.1023407,1045990,122532,North America,7878,0.2
1993,ENG,United Kingdom,63624960,1.15E+12,0.87051773,14.487608,11589885,2908251,Europe,18069,3.6
1993,EQG,Equatorial Guinea,371864,465318780,0.5824316,-4.296029,79666,5540,Africa,1251,0.3
1993,ERI,Eritrea,0,0,0,0,0,0,Africa,0,0
1993,EST,Estonia,1570128,8599950000,0.19078378,-5.2859416,307154,42736,Europe,5477,-0.5
1993,ETH,Ethiopia,52133748,15720966000,4.267387,88.2687,11653432,319760,Africa,302,6.5
1993,ETS,East Turkestan,0,0,0,0,0,0,Asia,0,0
1993,FAR,Faroe Islands,47096,138326790,0.033374123,-4.885787,8989,1576,Europe,2937,-0.7
1993,FIJ,Fiji,739236,7276620000,0.012352421,-5.3561454,153816,14320,Oceania,9843,-0.5
1993,FIN,Finland,4963440,29246304000,0.026587946,-4.4064465,880098,162580,Europe,5892,-0.7
1993,FRA,France,59068352,9.90E+11,0.4809585,-4.176956,11426350,1970837,Europe,16769,-0.2
1993,GAB,Gabon,943108,2664840900,1.2114842,-4.016871,180770,29874,Africa,2826,0.5
1993,GAG,Gagauzia,206400,1267674600,0.6407858,-6.0549164,42760,4261,Europe,6142,0
1993,GAM,Gambia,978360,7065021000,2.4568908,-5.6417227,202451,21341,Africa,7221,1.7
1993,GAZ,Gaza,0,0,0,0,0,0,Asia,0,0
1993,GEO,Georgia,5445448,12314244000,17.112917,-7.182059,1112569,111876,Asia,2261,14.9
1993,GER,Germany,79855452,9.97E+11,0.95773983,-4.9854336,15856186,2385349,Europe,12479,0.2
1993,GHA,Ghana,15737392,46762805000,2.0461855,-0.29207596,3238367,302661,Africa,2971,1.8
1993,GIB,Gibraltar,0,0,0,0,0,0,Europe,0,0
1993,GRD,Grenada,95472,354345850,1.0227823,-9.090909,20630,1386,North America,3712,0.4
1993,GRE,Greece,10138320,97036760000,1.0153749,-6.0988846,2006254,246996,Europe,9571,0.2
1993,GRN,Greenland,51808,52987146,0.019062143,-4.4404974,10492,1126,North America,1023,-0.4
1993,GUA,Guatemala,8953820,15377873000,0.6531347,67.44853,1876642,156208,North America,1717,5.8
1993,GUB,Guinea Bissau,1013404,2247376400,2.4515696,0.06466024,217167,17012,Africa,2218,2.3
1993,GUI,Guinea,6329052,15349205000,2.6738667,-8.960633,1382380,83320,Africa,2425,2
1993,GUY,Guyana,771160,1431777500,0.2088295,56.740593,170474,8026,South America,1857,2.7
1993,GZA,Gazankulu,253336,923994350,0.4843553,87.71103,51615,5094,Africa,3647,8.3
